pop1,pop2,mean_pairwise_IBD_length,pop1_size,pop2_size,IBD_len_SE
German,Greek-South,3.13,13,16,0.213
Finn,Spanish-Central,4.172,11,21,0.202
Azeri,Lithuania-AJ,1.423,18,27,0.094
Yemenite-Northwest,Poland-AJ,1.446,26,57,0.055
Jew-Uzbek,Yemenite-Highlands,1.1,12,29,0.092
Mordvin,Bashkir,6.459,34,56,0.107
Romania-AJ,Yemenite-Desert,1.562,23,27,0.083
Corsican,Bashkir,1.862,16,56,0.078
Kazakh-East,Adygei,1.372,13,31,0.107
Italian-South,Spanish-Catalonia,2.687,15,57,0.092
Chuvash,Georgian,1.365,18,26,0.097
Lithuanian,Pole,18.617,13,19,0.532
Turk-Northwest,mixed-AJ,2.08,18,204,0.041
Veps,Spanish-Central,3.754,12,21,0.209
Croat,Uzbek-East,1.585,14,21,0.119
Jew-Italian,Roman-Iberia,2.114,11,28,0.141
Italian-North,Hungarian,3.693,12,21,0.22
Ukranian-Central,Circassian,2.81,12,12,0.235
Somali,Lithuania-AJ,0.348,13,27,0.057
Belarusian,Yemenite-Desert,0.935,14,27,0.083
Sardinian,Jew-Bulgarian,2.199,20,26,0.113
Lezgin,Karelian,2.174,13,17,0.144
Brahui,Germany-AJ,1.163,21,26,0.077
Gujarati,Baloch,1.841,17,20,0.132
Circassian,mixed-AJ,1.819,12,204,0.048
Udmurt,Chuvash,15.388,14,18,0.459
BedouinB,Chuvash,0.826,12,18,0.117
Norwegian,Bashkir,3.394,12,56,0.123
Tabasaran,Slovakian,2.939,12,15,0.207
Icelandic,Sindhi,1.752,12,14,0.191
Yemenite-Desert,Tajik,0.771,27,32,0.053
Kabardian,Udmurt,2.573,13,14,0.189
Spanish-Central,Ukraine-AJ,3.169,21,38,0.111
Azeri,Roman-Iberia,1.597,18,28,0.096
Slovenian,Russia-AJ,3.705,15,39,0.148
Russian-Arctic,Karelian,40.855,17,17,0.873
German,Estonian,10.83,13,16,0.5
Finn,Hungarian,7.639,11,21,0.319
Yemenite-Northwest,Russian-Central,0.823,26,58,0.039
Jew-Uzbek,Spanish-Balearic,1.453,12,29,0.107
Corsican,Spanish-Catalonia,3.438,16,57,0.103
Kazakh-East,Tajik,1.645,13,32,0.113
Egyptian,Komi,0.878,18,18,0.09
Mordvin,Spanish-Catalonia,3.552,34,57,0.073
Italian-South,Poland-AJ,2.669,15,57,0.102
Lithuanian,Sardinian,2.377,13,20,0.151
Chuvash,Germany-AJ,2.014,18,26,0.115
Somali,Roman-Iberia,0.254,13,28,0.047
Croat,Tatar-Siberia,2.27,14,21,0.147
Jew-Italian,Yemenite-Highlands,1.23,11,29,0.105
Veps,Hungarian,8.667,12,21,0.321
Lezgin,Gujarati,0.827,13,17,0.098
Belarusian,Lithuania-AJ,5.281,14,27,0.244
Italian-North,Mozabite,1.696,12,21,0.147
Sardinian,Hungary-AJ,2.109,20,26,0.114
Ukranian-Central,Iranian-North,1.379,12,12,0.163
Brahui,Tatar-Volga,1.499,21,26,0.092
Udmurt,Ossetian,1.865,14,18,0.154
Gujarati,Swede,1.124,17,20,0.092
Iranian-North,BedouinB,1.48,12,12,0.242
BedouinB,Ossetian,0.901,12,18,0.098
Tabasaran,Corsican,1.645,12,16,0.168
Norwegian,Spanish-Catalonia,4.727,12,57,0.147
Kabardian,Belarus-AJ,1.94,13,14,0.186
Yemenite-Desert,Palestinian,1.764,27,33,0.08
Icelandic,Italian-South,3.339,12,15,0.24
Azeri,Yemenite-Highlands,0.859,18,29,0.069
Russian-Arctic,Gujarati,1.087,17,17,0.097
Spanish-Central,Russia-AJ,2.635,21,39,0.107
Slovenian,Bashkir,4.144,15,56,0.121
German,Russian-Arctic,10.867,13,17,0.562
Finn,Mozabite,1.314,11,21,0.138
Jew-Uzbek,Druze,1.316,12,30,0.105
Kazakh-East,Palestinian,0.685,13,33,0.069
Yemenite-Northwest,mixed-AJ,1.562,26,204,0.031
Corsican,Poland-AJ,2.347,16,57,0.083
Egyptian,Azeri,0.864,18,18,0.086
Somali,Yemenite-Highlands,0.839,13,29,0.075
Lithuanian,Baloch,1.523,13,20,0.126
Lezgin,Pashtun,1.284,13,17,0.121
Romania-AJ,Lithuania-AJ,84.11,23,27,0.896
Italian-South,Russian-Central,2.719,15,58,0.095
Croat,Spanish-Central,2.826,14,21,0.171
Belarusian,Roman-Iberia,3.124,14,28,0.16
Jew-Italian,Spanish-Balearic,2.711,11,29,0.163
Veps,Mozabite,1.302,12,21,0.123
Sardinian,Georgian,1.087,20,26,0.077
Udmurt,Turk-Northwest,2.411,14,18,0.167
Mordvin,Poland-AJ,3.356,34,57,0.076
Brahui,Yemenite-Desert,1.055,21,27,0.077
Italian-North,Iranian-Central,1.355,12,22,0.119
Gujarati,Brahui,1.777,17,21,0.123
Ukranian-Central,BedouinB,1.059,12,12,0.141
Chuvash,Tatar-Volga,18.432,18,26,0.385
Iranian-North,Jew-Uzbek,1.298,12,12,0.171
BedouinB,Turk-Northwest,0.979,12,18,0.119
Tabasaran,Greek-South,1.4,12,16,0.156
Kabardian,Sindhi,1.018,13,14,0.131
Yemenite-Desert,Mordvin,0.84,27,34,0.051
Russian-Arctic,Pashtun,1.568,17,17,0.124
Norwegian,Poland-AJ,3.026,12,57,0.109
Icelandic,Tuscan,4.342,12,15,0.24
Azeri,Spanish-Balearic,1.409,18,29,0.086
Spanish-Central,Bashkir,2.032,21,56,0.073
Slovenian,Spanish-Catalonia,3.895,15,57,0.121
German,Karelian,11.739,13,17,0.61
Finn,Iranian-Central,1.453,11,22,0.119
Jew-Uzbek,Adygei,1.626,12,31,0.112
Kazakh-East,Mordvin,2.441,13,34,0.125
Somali,Spanish-Balearic,0.259,13,29,0.044
Egyptian,Armenian,1.034,18,18,0.092
Corsican,Russian-Central,3.185,16,58,0.098
Lezgin,Chuvash,1.642,13,18,0.144
Belarusian,Yemenite-Highlands,0.976,14,29,0.079
Lithuanian,Swede,9.297,13,20,0.339
Romania-AJ,Roman-Iberia,2.262,23,28,0.112
Jew-Italian,Druze,1.532,11,30,0.114
Croat,Hungarian,8.091,14,21,0.297
Sardinian,Germany-AJ,2.296,20,26,0.104
Udmurt,Egyptian,0.703,14,18,0.1
Veps,Iranian-Central,1.611,12,22,0.135
Gujarati,Uzbek-East,0.825,17,21,0.082
Brahui,Lithuania-AJ,1.361,21,27,0.089
Iranian-North,Greek-North,1.327,12,13,0.158
Chuvash,Yemenite-Desert,0.453,18,27,0.051
Ukranian-Central,Jew-Uzbek,1.78,12,12,0.185
Italian-North,Romania-AJ,3.129,12,23,0.183
Italian-South,mixed-AJ,2.617,15,204,0.051
BedouinB,Egyptian,4.127,12,18,0.483
Tabasaran,Estonian,3.204,12,16,0.224
Kabardian,Italian-South,1.796,13,15,0.162
Jew-Bulgarian,Hungary-AJ,33.145,26,26,0.766
Yemenite-Desert,Ukraine-AJ,1.338,27,38,0.064
Azeri,Druze,1.005,18,30,0.07
Russian-Arctic,Chuvash,11.454,17,18,0.356
Icelandic,Slovenian,6.419,12,15,0.348
Norwegian,Russian-Central,6.273,12,58,0.157
German,Gujarati,0.905,13,17,0.108
Jew-Uzbek,Tajik,1.342,12,32,0.098
Finn,Romania-AJ,4.241,11,23,0.214
Slovenian,Poland-AJ,4.035,15,57,0.13
Spanish-Central,Spanish-Catalonia,5.523,21,57,0.123
Kazakh-East,Ukraine-AJ,1.167,13,38,0.086
Somali,Druze,0.413,13,30,0.053
Mordvin,Russian-Central,12.581,34,58,0.14
Egyptian,Pole,1.107,18,19,0.091
Lezgin,Ossetian,2.201,13,18,0.176
Belarusian,Spanish-Balearic,3.763,14,29,0.158
Romania-AJ,Yemenite-Highlands,1.332,23,29,0.08
Lithuanian,Brahui,1.633,13,21,0.126
Jew-Italian,Adygei,1.745,11,31,0.12
Sardinian,Tatar-Volga,1.581,20,26,0.095
Croat,Mozabite,1.304,14,21,0.115
Gujarati,Tatar-Siberia,0.908,17,21,0.084
Veps,Romania-AJ,3.881,12,23,0.198
Ukranian-Central,Greek-North,5.143,12,13,0.294
Iranian-North,German,1.487,12,13,0.159
Chuvash,Lithuania-AJ,2.618,18,27,0.129
Brahui,Roman-Iberia,1.393,21,28,0.092
Corsican,mixed-AJ,2.565,16,204,0.049
Tuscan,Slovenian,3.535,15,15,0.213
Italian-North,BedouinA,1.574,12,23,0.145
Udmurt,Komi,25.462,14,18,0.722
Kabardian,Tuscan,1.617,13,15,0.148
Jew-Bulgarian,Georgian,1.385,26,26,0.08
BedouinB,Komi,0.807,12,18,0.1
Tabasaran,Russian-Arctic,2.798,12,17,0.191
Yemenite-Desert,Russia-AJ,1.36,27,39,0.062
Azeri,Adygei,1.666,18,31,0.097
Russian-Arctic,Ossetian,2.234,17,18,0.143
Icelandic,Slovakian,6.938,12,15,0.324
German,Pashtun,1.503,13,17,0.132
Finn,BedouinA,1.12,11,23,0.114
Somali,Adygei,0.294,13,31,0.044
Jew-Uzbek,Palestinian,1.441,12,33,0.101
Kazakh-East,Russia-AJ,1.066,13,39,0.084
Spanish-Central,Poland-AJ,2.943,21,57,0.093
Norwegian,mixed-AJ,2.967,12,204,0.058
Lezgin,Turk-Northwest,1.614,13,18,0.144
Egyptian,Sardinian,1.045,18,20,0.099
Belarusian,Druze,1.538,14,30,0.101
Lithuanian,Uzbek-East,2.407,13,21,0.167
Slovenian,Russian-Central,10.162,15,58,0.189
Romania-AJ,Spanish-Balearic,3.323,23,29,0.12
Sardinian,Yemenite-Desert,0.877,20,27,0.067
Jew-Italian,Tajik,1.354,11,32,0.11
Croat,Iranian-Central,1.396,14,22,0.117
Iranian-North,Somali,0.237,12,13,0.081
Gujarati,Spanish-Central,0.776,17,21,0.081
Greek-South,Estonian,4.336,16,16,0.225
Ukranian-Central,German,9.1,12,13,0.532
Brahui,Yemenite-Highlands,0.906,21,29,0.07
Chuvash,Roman-Iberia,2.083,18,28,0.101
Tuscan,Slovakian,3.489,15,15,0.224
Veps,BedouinA,1.141,12,23,0.114
Kabardian,Slovenian,2.822,13,15,0.202
Udmurt,Azeri,1.663,14,18,0.135
Italian-North,Nogai,1.762,12,25,0.138
BedouinB,Azeri,0.936,12,18,0.113
Tabasaran,Karelian,2.354,12,17,0.19
Yemenite-Desert,Bashkir,0.567,27,56,0.035
Azeri,Tajik,1.274,18,32,0.076
Russian-Arctic,Turk-Northwest,2.973,17,18,0.184
Icelandic,Corsican,4.096,12,16,0.271
Mordvin,mixed-AJ,3.269,34,204,0.037
German,Chuvash,6.337,13,18,0.308
Somali,Tajik,0.169,13,32,0.033
Kazakh-East,Bashkir,4.509,13,56,0.153
Jew-Uzbek,Mordvin,1.801,12,34,0.116
Lezgin,Egyptian,0.739,13,18,0.119
Finn,Nogai,3.426,11,25,0.21
Jew-Bulgarian,Germany-AJ,40.258,26,26,0.736
Egyptian,Baloch,0.705,18,20,0.076
Abkhasian,Icelandic,1.359,12,12,0.151
Belarusian,Adygei,3.3,14,31,0.15
Spanish-Central,Russian-Central,3.446,21,58,0.086
Lithuanian,Tatar-Siberia,3.795,13,21,0.215
Jew-Italian,Palestinian,1.35,11,33,0.102
Romania-AJ,Druze,1.65,23,30,0.087
Sardinian,Lithuania-AJ,2.088,20,27,0.1
Belarus-AJ,mixed-AJ,90.673,14,204,0.44
Iranian-North,Czechia-AJ,1.381,12,13,0.167
Croat,Romania-AJ,3.564,14,23,0.169
Gujarati,Hungarian,0.884,17,21,0.076
Ukranian-Central,Somali,0.179,12,13,0.056
Tuscan,Corsican,3.516,15,16,0.226
Chuvash,Yemenite-Highlands,0.535,18,29,0.052
Greek-South,Russian-Arctic,3.715,16,17,0.214
Kabardian,Slovakian,3.279,13,15,0.22
Udmurt,Armenian,1.041,14,18,0.1
Brahui,Spanish-Balearic,1.459,21,29,0.089
Veps,Nogai,4.086,12,25,0.211
Slovenian,mixed-AJ,3.877,15,204,0.069
BedouinB,Armenian,1.501,12,18,0.144
Tabasaran,Gujarati,0.938,12,17,0.116
Yemenite-Desert,Spanish-Catalonia,1.036,27,57,0.045
Italian-North,Kyrgyz-North,0.963,12,25,0.103
Russian-Arctic,Egyptian,0.878,17,18,0.092
Azeri,Palestinian,1.093,18,33,0.075
Icelandic,Greek-South,3.07,12,16,0.238
German,Ossetian,2.248,13,18,0.164
Somali,Palestinian,0.38,13,33,0.048
Kazakh-East,Spanish-Catalonia,1.203,13,57,0.072
Lezgin,Komi,2.127,13,18,0.144
Jew-Uzbek,Ukraine-AJ,2.218,12,38,0.122
Egyptian,Swede,0.875,18,20,0.082
Jew-Bulgarian,Tatar-Volga,2.225,26,26,0.095
Finn,Kyrgyz-North,2.151,11,25,0.151
Belarusian,Tajik,2.583,14,32,0.13
Abkhasian,Italian-North,1.798,12,12,0.183
Sindhi,Italian-South,0.957,14,15,0.112
Lithuanian,Spanish-Central,4.116,13,21,0.214
Sardinian,Roman-Iberia,1.8,20,28,0.094
Romania-AJ,Adygei,2.344,23,31,0.096
Jew-Italian,Mordvin,2.332,11,34,0.135
Iranian-North,Lezgin,1.308,12,13,0.152
Croat,BedouinA,1.151,14,23,0.096
Gujarati,Mozabite,0.421,17,21,0.058
Kabardian,Corsican,1.635,13,16,0.167
Tuscan,Greek-South,2.202,15,16,0.17
Ukranian-Central,Czechia-AJ,4.811,12,13,0.394
Chuvash,Spanish-Balearic,2.446,18,29,0.119
Greek-South,Karelian,3.28,16,17,0.21
Brahui,Druze,1.064,21,30,0.073
Udmurt,Pole,6.021,14,19,0.274
Slovakian,Corsican,3.774,15,16,0.211
Spanish-Central,mixed-AJ,2.894,21,204,0.048
BedouinB,Pole,1.091,12,19,0.12
Yemenite-Desert,Poland-AJ,1.184,27,57,0.049
Veps,Kyrgyz-North,2.326,12,25,0.139
Italian-North,Yemenite-Northwest,1.366,12,26,0.125
Tabasaran,Pashtun,1.49,12,17,0.165
Azeri,Mordvin,1.567,18,34,0.09
Somali,Mordvin,0.179,13,34,0.035
German,Turk-Northwest,2.718,13,18,0.183
Russian-Arctic,Komi,23.182,17,18,0.593
Icelandic,Estonian,9.025,12,16,0.372
Kazakh-East,Poland-AJ,1.029,13,57,0.065
Lezgin,Azeri,2.325,13,18,0.19
Jew-Bulgarian,Yemenite-Desert,1.204,26,27,0.074
Belarusian,Palestinian,1.621,14,33,0.099
Finn,Yemenite-Northwest,1.034,11,26,0.102
Egyptian,Brahui,0.715,18,21,0.078
Sindhi,Tuscan,1.034,14,15,0.123
Iranian-North,Kazakh-East,0.67,12,13,0.122
Sardinian,Yemenite-Highlands,0.927,20,29,0.07
Lithuanian,Hungarian,11.071,13,21,0.372
Kabardian,Greek-South,1.59,13,16,0.148
Abkhasian,Circassian,12.757,12,12,0.762
Romania-AJ,Tajik,1.579,23,32,0.082
Jew-Uzbek,Russia-AJ,24.003,12,39,2.695
Tuscan,Estonian,3.92,15,16,0.229
Croat,Nogai,3.064,14,25,0.172
Gujarati,Iranian-Central,0.835,17,22,0.074
Greek-South,Gujarati,0.712,16,17,0.084
Chuvash,Druze,0.869,18,30,0.073
Brahui,Adygei,1.494,21,31,0.08
Ukranian-Central,Lezgin,2.346,12,13,0.205
Udmurt,Sardinian,1.567,14,20,0.127
Slovakian,Greek-South,4.121,15,16,0.244
Yemenite-Desert,Russian-Central,0.651,27,58,0.035
Veps,Yemenite-Northwest,0.937,12,26,0.089
BedouinB,Sardinian,1.045,12,20,0.115
Hungarian,Mozabite,1.265,21,21,0.089
Jew-Italian,Ukraine-AJ,39.772,11,38,1.36
Italian-North,Jew-Bulgarian,2.817,12,26,0.166
Somali,Ukraine-AJ,0.249,13,38,0.038
Tabasaran,Chuvash,1.858,12,18,0.161
Azeri,Ukraine-AJ,1.556,18,38,0.081
German,Egyptian,0.977,13,18,0.129
Russian-Arctic,Azeri,1.628,17,18,0.125
Lezgin,Armenian,1.759,13,18,0.147
Kazakh-East,Russian-Central,2.276,13,58,0.094
Icelandic,Russian-Arctic,7.014,12,17,0.313
Finn,Jew-Bulgarian,2.753,11,26,0.155
Sindhi,Slovenian,1.394,14,15,0.136
Egyptian,Uzbek-East,0.597,18,21,0.076
Ukraine-AJ,Russia-AJ,71.406,38,39,0.969
Kabardian,Estonian,3.449,13,16,0.224
Iranian-North,Kazakh-West,0.745,12,13,0.113
Belarusian,Mordvin,12.319,14,34,0.279
Lithuanian,Mozabite,1.224,13,21,0.116
Sardinian,Spanish-Balearic,2.853,20,29,0.115
Tuscan,Russian-Arctic,3.05,15,17,0.191
Jew-Uzbek,Bashkir,1.216,12,56,0.074
Romania-AJ,Palestinian,1.835,23,33,0.081
Abkhasian,Iranian-North,1.405,12,12,0.163
Gujarati,Romania-AJ,0.746,17,23,0.075
Greek-South,Pashtun,0.897,16,17,0.093
Chuvash,Adygei,2.325,18,31,0.113
Croat,Kyrgyz-North,1.165,14,25,0.098
Ukranian-Central,Kazakh-East,2.088,12,13,0.196
Brahui,Tajik,1.846,21,32,0.091
Udmurt,Baloch,1.282,14,20,0.123
Jew-Bulgarian,Lithuania-AJ,32.179,26,27,0.635
Slovakian,Estonian,12.165,15,16,0.379
Somali,Russia-AJ,0.29,13,39,0.041
Veps,Jew-Bulgarian,2.658,12,26,0.152
BedouinB,Baloch,0.965,12,20,0.112
Hungarian,Iranian-Central,1.533,21,22,0.094
Tabasaran,Ossetian,2.305,12,18,0.192
Italian-North,Hungary-AJ,3.299,12,26,0.17
Azeri,Russia-AJ,1.364,18,39,0.078
Russian-Arctic,Armenian,1.593,17,18,0.125
German,Komi,8.937,13,18,0.538
Yemenite-Desert,mixed-AJ,1.356,27,204,0.027
Lezgin,Pole,2.576,13,19,0.165
Kazakh-East,mixed-AJ,1.072,13,204,0.035
Icelandic,Karelian,7.986,12,17,0.352
Jew-Italian,Russia-AJ,34.124,11,39,1.465
Sindhi,Slovakian,1.495,14,15,0.147
Finn,Hungary-AJ,3.373,11,26,0.181
Egyptian,Tatar-Siberia,0.577,18,21,0.068
Kabardian,Russian-Arctic,2.948,13,17,0.199
Iranian-North,Lithuanian,1.373,12,13,0.139
Lithuanian,Iranian-Central,1.397,13,22,0.113
Ukraine-AJ,Bashkir,2.079,38,56,0.054
Tuscan,Karelian,3.186,15,17,0.193
Sardinian,Druze,1.288,20,30,0.079
Croat,Yemenite-Northwest,0.889,14,26,0.085
Belarusian,Ukraine-AJ,5.253,14,38,0.197
Gujarati,BedouinA,0.611,17,23,0.069
Greek-South,Chuvash,2.603,16,18,0.151
Jew-Uzbek,Spanish-Catalonia,1.663,12,57,0.08
Chuvash,Tajik,2.072,18,32,0.107
Abkhasian,BedouinB,0.747,12,12,0.145
Romania-AJ,Mordvin,3.486,23,34,0.118
Ukranian-Central,Kazakh-West,2.047,12,13,0.192
Brahui,Palestinian,1.072,21,33,0.071
Udmurt,Swede,4.852,14,20,0.214
Jew-Bulgarian,Roman-Iberia,1.913,26,28,0.095
Somali,Bashkir,0.086,13,56,0.018
Slovakian,Russian-Arctic,9.384,15,17,0.326
BedouinB,Swede,0.795,12,20,0.098
Italian-North,Georgian,1.565,12,26,0.122
Veps,Hungary-AJ,3.56,12,26,0.19
German,Azeri,1.526,13,18,0.128
Tabasaran,Turk-Northwest,1.399,12,18,0.135
Azeri,Bashkir,1.38,18,56,0.066
Hungarian,Romania-AJ,4.373,21,23,0.192
Lithuania-AJ,Roman-Iberia,2.057,27,28,0.094
Lezgin,Sardinian,1.447,13,20,0.122
Russian-Arctic,Pole,13.255,17,19,0.404
Kazakh-West,Lithuanian,2.149,13,13,0.179
Icelandic,Gujarati,1.205,12,17,0.139
Sindhi,Corsican,0.931,14,16,0.11
Finn,Georgian,1.438,11,26,0.123
Jew-Italian,Bashkir,1.5,11,56,0.082
Kabardian,Karelian,2.669,13,17,0.181
Iranian-North,Balkar,1.334,12,13,0.156
Egyptian,Spanish-Central,1.139,18,21,0.093
Tuscan,Gujarati,0.798,15,17,0.102
Sardinian,Adygei,1.346,20,31,0.08
Lithuanian,Romania-AJ,5.021,13,23,0.246
Croat,Jew-Bulgarian,2.376,14,26,0.133
Greek-South,Ossetian,1.247,16,18,0.112
Chuvash,Palestinian,0.84,18,33,0.063
Gujarati,Nogai,0.859,17,25,0.073
Belarusian,Russia-AJ,4.603,14,39,0.21
Jew-Uzbek,Poland-AJ,2.132,12,57,0.103
Abkhasian,Jew-Uzbek,1.073,12,12,0.137
Ukranian-Central,Lithuanian,15.1,12,13,0.53
Udmurt,Brahui,1.821,14,21,0.148
Ukraine-AJ,Spanish-Catalonia,3.105,38,57,0.066
Brahui,Mordvin,1.513,21,34,0.08
Somali,Spanish-Catalonia,0.255,13,57,0.032
Jew-Bulgarian,Yemenite-Highlands,1.231,26,29,0.067
Slovakian,Karelian,9.506,15,17,0.354
German,Armenian,1.513,13,18,0.133
BedouinB,Brahui,0.883,12,21,0.095
Veps,Georgian,1.607,12,26,0.129
Azeri,Spanish-Catalonia,1.455,18,57,0.064
Tabasaran,Egyptian,0.837,12,18,0.108
Italian-North,Germany-AJ,3.418,12,26,0.191
Hungarian,BedouinA,1.087,21,23,0.079
Lithuania-AJ,Yemenite-Highlands,1.257,27,29,0.068
Lezgin,Baloch,1.453,13,20,0.127
Kazakh-West,Balkar,1.43,13,13,0.167
Russian-Arctic,Sardinian,1.968,17,20,0.131
Sindhi,Greek-South,1.011,14,16,0.118
Icelandic,Pashtun,1.983,12,17,0.179
Finn,Germany-AJ,3.001,11,26,0.181
Jew-Italian,Spanish-Catalonia,2.634,11,57,0.111
Kabardian,Gujarati,0.857,13,17,0.111
Iranian-North,Kabardian,1.248,12,13,0.149
Tuscan,Pashtun,1.183,15,17,0.118
Egyptian,Hungarian,1.028,18,21,0.092
Sardinian,Tajik,1.039,20,32,0.07
Lithuanian,BedouinA,1.125,13,23,0.103
Greek-South,Turk-Northwest,2.299,16,18,0.169
Croat,Hungary-AJ,3.288,14,26,0.192
Gujarati,Kyrgyz-North,0.71,17,25,0.066
Abkhasian,Greek-North,1.766,12,13,0.189
Jew-Uzbek,Russian-Central,1.487,12,58,0.078
Somali,Poland-AJ,0.296,13,57,0.033
Ukranian-Central,Balkar,2.633,12,13,0.21
Udmurt,Uzbek-East,2.522,14,21,0.166
Belarusian,Bashkir,5.796,14,56,0.163
Jew-Bulgarian,Spanish-Balearic,2.946,26,29,0.116
Chuvash,Mordvin,9.841,18,34,0.227
Brahui,Ukraine-AJ,1.265,21,38,0.07
Slovakian,Gujarati,1.199,15,17,0.123
German,Pole,10.723,13,19,0.447
Veps,Germany-AJ,2.906,12,26,0.164
BedouinB,Uzbek-East,0.841,12,21,0.099
Azeri,Poland-AJ,1.448,18,57,0.068
Tabasaran,Komi,2.42,12,18,0.182
Lezgin,Swede,2.512,13,20,0.164
Kazakh-West,Kabardian,1.932,13,13,0.187
Italian-North,Tatar-Volga,2.801,12,26,0.159
Hungarian,Nogai,2.65,21,25,0.13
Lithuania-AJ,Spanish-Balearic,3.061,27,29,0.112
Russian-Arctic,Baloch,1.692,17,20,0.126
Sindhi,Estonian,1.991,14,16,0.161
Romania-AJ,Ukraine-AJ,83.835,23,38,0.872
Icelandic,Chuvash,4.24,12,18,0.231
Kabardian,Pashtun,1.326,13,17,0.139
Finn,Tatar-Volga,10.629,11,26,0.344
Iranian-North,Belarusian,1.727,12,14,0.163
Tuscan,Chuvash,2.482,15,18,0.148
Sardinian,Palestinian,1.268,20,33,0.075
Egyptian,Mozabite,1.601,18,21,0.116
Greek-South,Egyptian,0.826,16,18,0.093
Croat,Georgian,1.493,14,26,0.109
Lithuanian,Nogai,3.976,13,25,0.203
Gujarati,Yemenite-Northwest,0.483,17,26,0.055
Somali,Russian-Central,0.202,13,58,0.028
Ukranian-Central,Kabardian,3.003,12,13,0.245
Abkhasian,German,1.826,12,13,0.172
Jew-Bulgarian,Druze,1.693,26,30,0.079
Slovakian,Pashtun,1.648,15,17,0.138
Udmurt,Tatar-Siberia,11.404,14,21,0.349
Belarusian,Spanish-Catalonia,4.079,14,57,0.116
Jew-Uzbek,mixed-AJ,2.031,12,204,0.049
Chuvash,Ukraine-AJ,2.463,18,38,0.109
Brahui,Russia-AJ,1.285,21,39,0.069
Jew-Italian,Poland-AJ,43.725,11,57,1.261
German,Sardinian,2.393,13,20,0.168
Kazakh-West,Belarusian,2.071,13,14,0.175
Lezgin,Brahui,1.439,13,21,0.119
Azeri,Russian-Central,1.711,18,58,0.066
BedouinB,Tatar-Siberia,0.52,12,21,0.079
Lithuania-AJ,Druze,1.743,27,30,0.082
Tabasaran,Azeri,2.9,12,18,0.243
Italian-North,Yemenite-Desert,1.264,12,27,0.099
Veps,Tatar-Volga,11.882,12,26,0.343
Hungarian,Kyrgyz-North,1.309,21,25,0.083
Sindhi,Russian-Arctic,1.82,14,17,0.149
Russian-Arctic,Swede,9.851,17,20,0.289
Kabardian,Chuvash,2.555,13,18,0.181
Icelandic,Ossetian,2.203,12,18,0.158
Finn,Yemenite-Desert,1.008,11,27,0.102
Iranian-North,Basque-France,0.94,12,14,0.124
Tuscan,Ossetian,1.617,15,18,0.125
Croat,Germany-AJ,3.07,14,26,0.152
Egyptian,Iranian-Central,0.67,18,22,0.067
Greek-South,Komi,3.073,16,18,0.176
Sardinian,Mordvin,2.002,20,34,0.094
Gujarati,Jew-Bulgarian,0.671,17,26,0.069
Somali,mixed-AJ,0.272,13,204,0.018
Lithuanian,Kyrgyz-North,1.74,13,25,0.125
Abkhasian,Somali,0.367,12,13,0.086
Jew-Bulgarian,Adygei,1.918,26,31,0.08
Ukranian-Central,Belarusian,15.936,12,14,0.526
Greek-North,German,4.535,13,13,0.276
Slovakian,Chuvash,6.516,15,18,0.259
Udmurt,Spanish-Central,2.72,14,21,0.171
Chuvash,Russia-AJ,2.242,18,39,0.099
Brahui,Bashkir,1.222,21,56,0.055
Belarusian,Poland-AJ,5.012,14,57,0.165
Kazakh-West,Basque-France,1.082,13,14,0.146
German,Baloch,1.577,13,20,0.135
Lezgin,Uzbek-East,1.309,13,21,0.112
Jew-Italian,Russian-Central,2.558,11,58,0.114
Lithuania-AJ,Adygei,2.301,27,31,0.091
Tabasaran,Armenian,1.944,12,18,0.168
Sindhi,Karelian,1.292,14,17,0.122
Veps,Yemenite-Desert,0.949,12,27,0.094
BedouinB,Spanish-Central,1.086,12,21,0.113
Hungarian,Yemenite-Northwest,1.092,21,26,0.075
Italian-North,Lithuania-AJ,3.111,12,27,0.168
Azeri,mixed-AJ,1.399,18,204,0.033
Russian-Arctic,Brahui,1.541,17,21,0.109
Icelandic,Turk-Northwest,2.563,12,18,0.191
Finn,Lithuania-AJ,3.537,11,27,0.176
Kabardian,Ossetian,11.542,13,18,0.627
Iranian-North,Croat,1.259,12,14,0.133
Tuscan,Turk-Northwest,2.074,15,18,0.154
Croat,Tatar-Volga,5.629,14,26,0.221
Greek-South,Azeri,1.268,16,18,0.123
Egyptian,Romania-AJ,1.402,18,23,0.102
Czechia-AJ,Lezgin,1.647,13,13,0.163
Lithuanian,Yemenite-Northwest,0.868,13,26,0.093
Gujarati,Hungary-AJ,0.689,17,26,0.068
Sardinian,Ukraine-AJ,2.211,20,38,0.094
Greek-North,Somali,0.412,13,13,0.083
Abkhasian,Czechia-AJ,1.832,12,13,0.178
Jew-Bulgarian,Tajik,1.309,26,32,0.069
Romania-AJ,Russia-AJ,72.066,23,39,1.205
Ukranian-Central,Basque-France,3.577,12,14,0.238
Slovakian,Ossetian,2.42,15,18,0.165
Udmurt,Hungarian,4.036,14,21,0.202
Kazakh-West,Croat,1.308,13,14,0.135
Brahui,Spanish-Catalonia,1.409,21,57,0.058
Lezgin,Tatar-Siberia,1.336,13,21,0.119
German,Swede,8.628,13,20,0.289
Sindhi,Gujarati,1.864,14,17,0.192
Lithuania-AJ,Tajik,1.589,27,32,0.074
