pop1,pop2,mean_pairwise_IBD_length,pop1_size,pop2_size,IBD_len_SE
French-Southwest,Ossetian,1.51,6,18,0.195
Kryashen,Karachay,3.23,3,11,0.434
Kyrgyz-South,Ingush,1.504,6,9,0.286
Jew-Iraqi,Portuguese,0.703,6,10,0.166
Austria-AJ,Yemenite-Northwest,1.378,3,26,0.211
French-Southwest,Jew-Ethiopian,0.158,6,7,0.089
Cossack,Tunisian,1.178,4,8,0.275
Spanish-Northwest,Spanish-Balearic,3.797,5,29,0.3
English-Southwest,Kazakh-West,1.35,5,13,0.209
Eritrean,Sicilian-West,0.801,3,14,0.231
Algerian,Turk-Northwest,1.096,4,18,0.177
French-Southeast,Albanian,2.783,5,9,0.411
Mansi,Belarusian,6.515,5,14,0.745
Spanish-Northwest,Russian-Northwest,3.034,5,9,0.429
Jew-Iberian,Karelian,2.273,3,17,0.335
Netherlands-AJ,Spanish-North,3.308,4,10,0.394
Brahmin,Ukraine-AJ,1.671,3,38,0.185
Afar,Tuscan,0.351,5,15,0.121
Algerian,Latvia-AJ,1.591,4,7,0.44
Brahmin,Chechen,1.227,3,9,0.318
Cossack,Romania-AJ,3.991,4,23,0.397
Eritrean,Netherlands-AJ,0.295,3,4,0.295
Libyan,Spanish-Balearic,1.484,5,29,0.169
English-Southeast,Chechen,3.343,5,9,0.417
Jew-Cochin,Kazakh-West,0.725,5,13,0.204
English-Southeast,Ukraine-AJ,3.498,5,38,0.214
Basque-Spain,Belarusian,4.171,6,14,0.357
Libyan,Russian-Northwest,1.069,5,9,0.275
French-Southeast,Roman-Iberia,2.445,5,28,0.245
Austria-AJ,Darginian,1.14,3,8,0.358
Shaigi,Czechia-AJ,1.404,3,13,0.3
Scot,Jordanian,1.461,4,11,0.315
Kyrgyz-South,Ukraine-AJ,1.026,6,38,0.115
Jew-Iberian,Jew-Iraqi,0.929,3,6,0.336
Sicilian-East,Tuscan,2.312,6,15,0.238
French-Southwest,Turk-Northwest,1.359,6,18,0.221
Afar,Mansi,0.132,5,5,0.132
Kryashen,Jordanian,0.988,3,11,0.264
Jew-Iraqi,Spanish-North,0.805,6,10,0.183
Kyrgyz-South,Chechen,1.282,6,9,0.251
French-Southwest,Latvia-AJ,1.84,6,7,0.411
Austria-AJ,Jew-Bulgarian,34.999,3,26,1.982
Cossack,Jew-Turkish,1.936,4,8,0.382
English-Southwest,Lithuanian,6.179,5,13,0.499
Spanish-Northwest,Druze,0.935,5,30,0.127
Eritrean,Udmurt,0.196,3,14,0.114
Algerian,Egyptian,1.339,4,18,0.208
Mansi,Basque-France,1.878,5,14,0.294
Algerian,Jew-Georgian,0.889,4,7,0.275
French-Southeast,Turk-Northeast,1.438,5,9,0.261
Afar,Slovenian,0.333,5,15,0.106
Spanish-Northwest,Latvian,3.444,5,9,0.453
Netherlands-AJ,French-Northeast,2.991,4,10,0.466
Jew-Iberian,Gujarati,0.589,3,17,0.187
Brahmin,Russia-AJ,1.361,3,39,0.175
Brahmin,Kurd,1.198,3,10,0.377
Libyan,Druze,1.83,5,30,0.187
Cossack,BedouinA,0.968,4,23,0.197
Eritrean,Afar,3.817,3,5,1.142
Jew-Cochin,Lithuanian,1.152,5,13,0.189
English-Southeast,Kurd,1.971,5,10,0.351
Shaigi,Lezgin,0.641,3,13,0.213
Austria-AJ,Jew-Kurdish,2.127,3,8,0.734
Libyan,Latvian,1.717,5,9,0.31
French-Southeast,Yemenite-Highlands,1.064,5,29,0.142
English-Southeast,Russia-AJ,3.166,5,39,0.207
Jew-Iberian,French-Southwest,2.846,3,6,0.684
Scot,Finn,7.923,4,11,0.608
Afar,Spanish-Northwest,0.303,5,5,0.167
Sicilian-East,Slovenian,2.659,6,15,0.262
French-Southwest,Egyptian,0.75,6,18,0.13
Kyrgyz-South,Russia-AJ,1.118,6,39,0.113
Kryashen,Finn,12.637,3,11,1.428
Basque-Spain,Basque-France,66.809,6,14,1.912
Jew-Iraqi,French-Northeast,1.322,6,10,0.228
Kyrgyz-South,Kurd,0.869,6,10,0.193
French-Southwest,Jew-Georgian,0.972,6,7,0.233
Austria-AJ,Hungary-AJ,95.006,3,26,4.204
Cossack,Syrian,0.873,4,8,0.291
English-Southwest,Balkar,2.26,5,13,0.391
Spanish-Northwest,Adygei,1.419,5,31,0.163
Algerian,Assyrian-Caucasus,0.836,4,7,0.252
Eritrean,Belarus-AJ,0.782,3,14,0.231
Algerian,Komi,0.834,4,18,0.157
Mansi,Croat,4.406,5,14,0.563
Afar,Slovakian,0.312,5,15,0.106
Spanish-Northwest,Gagauz,1.406,5,9,0.275
French-Southeast,Russian-Northwest,4.842,5,9,0.519
Brahmin,Bashkir,1.555,3,56,0.157
Jew-Iberian,Pashtun,0.654,3,17,0.174
Netherlands-AJ,French-Northwest,3.117,4,10,0.64
Brahmin,Avar,1.35,3,10,0.315
Jew-Cochin,Balkar,1.413,5,13,0.263
Libyan,Adygei,1.354,5,31,0.176
Libyan,Gagauz,1.12,5,9,0.27
English-Southeast,Avar,2.66,5,10,0.418
Shaigi,Kazakh-East,0.347,3,13,0.153
Eritrean,English-Southeast,1.127,3,5,0.428
Austria-AJ,Jew-Iranian,2.283,3,9,0.401
Cossack,Nogai,3.668,4,25,0.352
French-Southeast,Spanish-Balearic,3.718,5,29,0.249
Afar,English-Southwest,0.135,5,5,0.135
Jew-Iberian,Jew-Moroccan,18.778,3,6,3.91
English-Southeast,Bashkir,3.202,5,56,0.19
Scot,Jew-Italian,3.517,4,11,0.572
French-Southwest,Komi,3.045,6,18,0.298
Sicilian-East,Slovakian,3.122,6,15,0.302
Kyrgyz-South,Bashkir,3.785,6,56,0.192
Basque-Spain,Croat,4.153,6,14,0.374
Kryashen,Jew-Italian,2.3,3,11,0.523
French-Southwest,Assyrian-Caucasus,1.233,6,7,0.242
Jew-Iraqi,French-Northwest,0.862,6,10,0.188
Kyrgyz-South,Avar,1.026,6,10,0.202
Austria-AJ,Georgian,1.717,3,26,0.324
Cossack,Jew-Libyan,1.351,4,8,0.327
Spanish-Northwest,Tajik,1.215,5,32,0.153
English-Southwest,Kabardian,2.81,5,13,0.323
Algerian,Cypriot,0.681,4,7,0.213
Algerian,Azeri,0.855,4,18,0.167
Mansi,Sicilian-West,1.386,5,14,0.235
Afar,Corsican,0.405,5,16,0.118
Eritrean,Sindhi,0.471,3,14,0.167
Brahmin,Spanish-Catalonia,1.522,3,57,0.143
Spanish-Northwest,Bengali,0.859,5,9,0.226
French-Southeast,Latvian,4.841,5,9,0.736
Jew-Iberian,Chuvash,1.829,3,18,0.33
Netherlands-AJ,Czech,4.592,4,10,0.693
Jew-Cochin,Kabardian,1.122,5,13,0.208
Brahmin,Turk-South,1.548,3,10,0.373
Shaigi,Kazakh-West,0.26,3,13,0.128
English-Southeast,Turk-South,2.331,5,10,0.371
Libyan,Tajik,0.816,5,32,0.119
Libyan,Bengali,0.277,5,9,0.122
Eritrean,Mansi,0.89,3,5,0.343
Austria-AJ,Lak,2.163,3,9,0.49
Jew-Iberian,Jew-French,7.092,3,7,0.928
Afar,French-Southeast,0.246,5,5,0.171
French-Southeast,Druze,1.202,5,30,0.157
English-Southeast,Spanish-Catalonia,4.697,5,57,0.207
Cossack,Kyrgyz-North,1.957,4,25,0.222
Scot,Italian-Northwest,4.139,4,11,0.484
French-Southwest,Azeri,1.437,6,18,0.197
Kyrgyz-South,Spanish-Catalonia,1.164,6,57,0.101
Sicilian-East,Corsican,1.998,6,16,0.272
Kryashen,Italian-Northwest,2.735,3,11,0.459
Basque-Spain,Sicilian-West,3.211,6,14,0.394
French-Southwest,Cypriot,1.1,6,7,0.292
Jew-Iraqi,Czech,1.086,6,10,0.195
Kyrgyz-South,Turk-South,1.05,6,10,0.287
Cossack,Spanish-South,3.269,4,8,0.581
Austria-AJ,Germany-AJ,126.976,3,26,4.07
Spanish-Northwest,Palestinian,0.957,5,33,0.122
Algerian,Jew-Tunisian,2.066,4,7,0.447
English-Southwest,Belarusian,5.298,5,14,0.419
Afar,Greek-South,0.258,5,16,0.1
Algerian,Armenian,0.949,4,18,0.205
Eritrean,Italian-South,0.54,3,15,0.197
Brahmin,Poland-AJ,1.412,3,57,0.153
Jew-Iberian,Ossetian,0.848,3,18,0.209
Mansi,Udmurt,18.416,5,14,1.104
Netherlands-AJ,Assyrian-MiddleEast,1.447,4,11,0.327
Spanish-Northwest,French-North,3.227,5,9,0.411
French-Southeast,Gagauz,2.67,5,9,0.362
